id_city,city,id_hotel,name_hotel,region,star_rating,num_reviews,hotel_features,price,matched_name,displayName,latitude,longitude
2,Jakarta,138,Lumire Hotel & Convention Center,"Senen, Jakarta",4.0,8924.0,"Layanan pijat, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Sauna, Check-out ekspress, Pusat kebugaran, Bar",1016667,Lumire Hotel & Convention Center,Lumire Hotel & Convention Center,-6.1759450247056895,106.84034395092624
2,Jakarta,203,Teraskita Hotel Jakarta managed by Dafam,"Cawang, Jakarta",4.0,9335.0,"Restoran show cooking, Layanan pijat, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Spa, Bar",1940000,Teraskita Hotel Jakarta managed by Dafam,Teraskita Hotel Jakarta managed by Dafam,-6.245687,106.87465
2,Jakarta,151,Millennium Hotel Sirih Jakarta,"Tanah Abang, Jakarta",4.0,4969.0,"Transportasi ke pusat perbelanjaan, Sewa mobil, Aksesibel bagi penyandang disabilitas",1143853,Millennium Hotel Sirih Jakarta,Millennium Hotel Sirih Jakarta,-6.182667002467954,106.81670638161472
2,Jakarta,186,Sheraton Grand Jakarta Gandaria City Hotel,"Kebayoran Lama Utara, Jakarta",5.0,1579.0,"Restoran show cooking, Winery, Sewa mobil, Fasilitas bisnis, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",3319433,Sheraton Grand Jakarta Gandaria City Hotel,Sheraton Grand Jakarta Gandaria City Hotel,-6.2452633,106.7830351
2,Jakarta,45,DoubleTree by Hilton Jakarta - Diponegoro,"Cikini, Jakarta",5.0,3244.0,"Area main anak, Klub anak, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",3009019,DoubleTree by Hilton Jakarta - Diponegoro,DoubleTree by Hilton Jakarta - Diponegoro,-6.198831,106.843069
2,Jakarta,105,Hotel Ciputra Jakarta managed by Swiss-Belhotel International,"Tanjung Duren, Jakarta",4.0,9261.0,"Bayar saat Check-in, Layanan pijat, Bar di kolam renang, Pusat kebugaran, Bar",1463000,Hotel Ciputra Jakarta managed by Swiss-Belhotel International,Hotel Ciputra Jakarta managed by Swiss-Belhotel International,-6.168121,106.786498
2,Jakarta,31,Best Western Premier The Hive,"Cawang, Jakarta",5.0,11091.0,"Restoran show cooking, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Perpustakaan, Check-out ekspress, Bar",1133333,Best Western Premier The Hive,Best Western Premier The Hive,-6.245033,106.875336
2,Jakarta,10,Aloft South Jakarta,"Cilandak Timur, Jakarta",4.0,467.0,"Bar, Sewa mobil, Pusat kebugaran, Bilyar, Bar di kolam renang, Bar",1294700,Aloft South Jakarta,Aloft South Jakarta,-6.291784031,106.8162942
2,Jakarta,211,"The Langham, Jakarta","Senayan, Jakarta",5.0,340.0,"Restoran show cooking, Aktivitas outdoor, Klub kesehatan, Pusat kebugaran, Fasilitas bisnis, Sauna, Pusat kebugaran, Bar",7830031,"The Langham, Jakarta","The Langham, Jakarta",-6.227097,106.8063958
2,Jakarta,120,"Hotel Mulia Senayan, Jakarta","Senayan, Jakarta",5.0,1540.0,"Bar, Tennis, Fasilitas bisnis, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran",5445000,"Hotel Mulia Senayan, Jakarta","Hotel Mulia Senayan, Jakarta",-6.215131,106.797045
2,Jakarta,5,ASTON Priority Simatupang & Conference Center,"Kebagusan, Jakarta",4.0,7246.0,"Layanan pijat, Antar-jemput bandara, Spa, Bar",1314463,ASTON Priority Simatupang & Conference Center,ASTON Priority Simatupang & Conference Center,-6.301503,106.834503
2,Jakarta,148,Merlynn Park Hotel,"Petojo Utara, Jakarta",5.0,19249.0,"Tanda khusus bagi tuna netra, Klub kesehatan, Layanan pijat, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1550000,Merlynn Park Hotel,Merlynn Park Hotel,-6.165894,106.815414
2,Jakarta,22,Ascott Sudirman Jakarta,"Karet Semanggi, Jakarta",5.0,2200.0,"Pusat kebugaran, Fasilitas bisnis, Antar-jemput bandara, Pusat kebugaran",3658560,Ascott Sudirman Jakarta,Ascott Sudirman Jakarta,-6.2215855,106.81968129999996
2,Jakarta,209,"The Hermitage, a Tribute Portfolio Hotel, Jakarta","Menteng, Jakarta",5.0,369.0,"Karaoke, Handuk pantai, Layanan pijat, Pusat kebugaran, Teras rooftop, Fasilitas bisnis, Bar di kolam renang, Bar",4460060,"The Hermitage, a Tribute Portfolio Hotel, Jakarta","The Hermitage, a Tribute Portfolio Hotel, Jakarta",-6.198188,106.838031
2,Jakarta,147,Mercure Convention Center Ancol,"Ancol, Jakarta",4.0,7570.0,"Area main anak, Check-out ekspress",3648333,Mercure Convention Center Ancol - CHSE Certified,Mercure Convention Center Ancol - CHSE Certified,-6.122196,106.836323
2,Jakarta,104,Hotel Borobudur Jakarta,"Pasar Baru, Jakarta",5.0,7103.0,"Badminton, Aerobik, Winery, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",2572001,Hotel Borobudur Jakarta,Hotel Borobudur Jakarta,-6.172478,106.83579
2,Jakarta,44,Discovery Ancol,"Ancol, Jakarta",4.0,5754.0,"Ruang santai, Area main anak, Klub anak, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran",2691667,Discovery Ancol,Discovery Ancol,-6.125865,106.830982
2,Jakarta,232,Yuan Garden Pasar Baru,"Pasar Baru, Jakarta",4.0,3213.0,"Aerobik, Winery, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1105333,Yuan Garden Pasar Baru,Yuan Garden Pasar Baru,-6.163203600688937,106.83275252580644
2,Jakarta,119,Hotel Menara Peninsula,"Slipi, Jakarta",4.0,9253.0,"Kolam air panas outdoor, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",1006000,Menara Peninsula Hotel Jakarta,Menara Peninsula Hotel Jakarta,-6.189983,106.797909
2,Jakarta,219,"The Ritz-Carlton Jakarta, Pacific Place Hotel","Senayan, Jakarta",5.0,483.0,"Aerobik, Winery, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",8167500,"The Ritz-Carlton Jakarta, Pacific Place Hotel","The Ritz-Carlton Jakarta, Pacific Place Hotel",-6.223285,106.809681
2,Jakarta,61,Grand Hyatt Jakarta,"Thamrin, Jakarta",5.0,2059.0,"Jacuzzi, Tennis, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Sauna, Pusat kebugaran, Bar",9377500,Grand Hyatt Jakarta,Grand Hyatt Jakarta,-6.192628300000001,106.82246199999996
2,Jakarta,34,Century Park Hotel,"Senayan, Jakarta",4.0,6830.0,"Penitipan anak, Sewa mobil, Layanan pijat, Lapangan tennis outdoor, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",2160000,Century Park Hotel,Century Park Hotel,-6.223261201271582,106.8029623920654
2,Jakarta,65,Grand Mercure Jakarta Harmoni,"Harmoni, Jakarta",5.0,1627.0,Check-out ekspress,1402847,Grand Mercure Jakarta Harmoni,Grand Mercure Jakarta Harmoni,-6.160168,106.81966
2,Jakarta,143,Manhattan Hotel Jakarta,"Rasuna Said, Jakarta",5.0,8621.0,"Tanda khusus bagi tuna netra, Dapur kecil, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",2721667,Manhattan Hotel Jakarta,Manhattan Hotel Jakarta,-6.225193013149259,106.83132114484404
2,Jakarta,127,InterContinental Hotels JAKARTA PONDOK INDAH,"Pondok Indah, Jakarta",5.0,1455.0,"Pusat kebugaran, Bar",5457407,InterContinental Hotels JAKARTA PONDOK INDAH,InterContinental Hotels JAKARTA PONDOK INDAH,-6.264619,106.782179
2,Jakarta,198,Swiss-Belinn Simatupang Jakarta,"Lebak Bulus, Jakarta",3.0,7329.0,"Bar, Sewa mobil, Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran, Bar",976667,Swiss-Belinn Simatupang Jakarta,Swiss-Belinn Simatupang Jakarta,-6.291379,106.779478
